Image1,Image2,Similarity
subject01_centerlight.gif,subject01_glasses.gif,0.24836167159704128
subject01_centerlight.gif,subject01_happy.gif,0.24555640985281632
subject01_centerlight.gif,subject01_leftlight.gif,0.27049454640764814
subject01_centerlight.gif,subject01_noglasses.gif,0.2504413151843309
subject01_centerlight.gif,subject01_normal.gif,0.2499303430346706
subject01_centerlight.gif,subject01_rightlight.gif,0.2354980610789067
subject01_centerlight.gif,subject01_sad.gif,0.23834761952402653
subject01_centerlight.gif,subject01_sleepy.gif,0.24376468942862337
subject01_centerlight.gif,subject01_surprised.gif,0.24457904605221278
subject01_centerlight.gif,subject01_wink.gif,0.23942017286930037
subject01_centerlight.gif,subject02_centerlight.gif,0.24983883368930077
subject01_centerlight.gif,subject02_glasses.gif,0.23702306305238374
subject01_centerlight.gif,subject02_happy.gif,0.23775514350040267
subject01_centerlight.gif,subject02_leftlight.gif,0.2480467600392337
subject01_centerlight.gif,subject02_noglasses.gif,0.24026040067745483
subject01_centerlight.gif,subject02_normal.gif,0.24026040067745483
subject01_centerlight.gif,subject02_rightlight.gif,0.23629964526329417
subject01_centerlight.gif,subject02_sad.gif,0.2415624607857059
subject01_centerlight.gif,subject02_sleepy.gif,0.24464425863035186
subject01_centerlight.gif,subject02_surprised.gif,0.244745033813249
subject01_centerlight.gif,subject02_wink.gif,0.230074327671059
subject01_centerlight.gif,subject03_centerlight.gif,0.25067289580276364
subject01_centerlight.gif,subject03_glasses.gif,0.24265805174809302
subject01_centerlight.gif,subject03_happy.gif,0.24137549084646726
subject01_centerlight.gif,subject03_leftlight.gif,0.2468415857888247
subject01_centerlight.gif,subject03_noglasses.gif,0.2580727758006754
subject01_centerlight.gif,subject03_normal.gif,0.2580727758006754
subject01_centerlight.gif,subject03_rightlight.gif,0.2386931364190216
subject01_centerlight.gif,subject03_sad.gif,0.24013245954836437
subject01_centerlight.gif,subject03_sleepy.gif,0.2363530492499128
subject01_centerlight.gif,subject03_surprised.gif,0.23919717700681037
subject01_centerlight.gif,subject03_wink.gif,0.25064219752726175
subject01_centerlight.gif,subject04_centerlight.gif,0.25543990818920426
subject01_centerlight.gif,subject04_glasses.gif,0.2456689468491017
subject01_centerlight.gif,subject04_happy.gif,0.2328233692897014
subject01_centerlight.gif,subject04_leftlight.gif,0.24020373858671923
subject01_centerlight.gif,subject04_noglasses.gif,0.2362736033517982
subject01_centerlight.gif,subject04_normal.gif,0.23441253565162445
subject01_centerlight.gif,subject04_rightlight.gif,0.23323362431032307
subject01_centerlight.gif,subject04_sad.gif,0.23441253565162445
subject01_centerlight.gif,subject04_sleepy.gif,0.24314126259719154
subject01_centerlight.gif,subject04_surprised.gif,0.23907421337536075
subject01_centerlight.gif,subject04_wink.gif,0.24027968085729284
subject01_centerlight.gif,subject05_centerlight.gif,0.25776849884100955
subject01_centerlight.gif,subject05_glasses.gif,0.24099472947904574
subject01_centerlight.gif,subject05_happy.gif,0.24419737054878443
subject01_centerlight.gif,subject05_leftlight.gif,0.23945125396953978
subject01_centerlight.gif,subject05_noglasses.gif,0.23956785411433165
subject01_centerlight.gif,subject05_normal.gif,0.2340379975394209
subject01_centerlight.gif,subject05_rightlight.gif,0.22205520327704006
subject01_centerlight.gif,subject05_sad.gif,0.24279882067436434
subject01_centerlight.gif,subject05_sleepy.gif,0.22878270490299543
subject01_centerlight.gif,subject05_surprised.gif,0.24376941875004904
subject01_centerlight.gif,subject05_wink.gif,0.2372070120307595
subject01_centerlight.gif,subject06_centerlight.gif,0.2522674972911423
subject01_centerlight.gif,subject06_glasses.gif,0.23949242208263638
subject01_centerlight.gif,subject06_happy.gif,0.245989313959771
subject01_centerlight.gif,subject06_leftlight.gif,0.24082574109718552
subject01_centerlight.gif,subject06_noglasses.gif,0.2393751155090002
subject01_centerlight.gif,subject06_normal.gif,0.2393751155090002
subject01_centerlight.gif,subject06_rightlight.gif,0.24188406453666195
subject01_centerlight.gif,subject06_sad.gif,0.23814064059368786
subject01_centerlight.gif,subject06_sleepy.gif,0.23268017281392794
subject01_centerlight.gif,subject06_surprised.gif,0.24822945513613023
subject01_centerlight.gif,subject06_wink.gif,0.23541384272557436
subject01_centerlight.gif,subject07_centerlight.gif,0.24650194664840397
subject01_centerlight.gif,subject07_glasses.gif,0.2445611191357625
subject01_centerlight.gif,subject07_happy.gif,0.22689162521151093
subject01_centerlight.gif,subject07_leftlight.gif,0.24227390378990496
subject01_centerlight.gif,subject07_noglasses.gif,0.2352848142243368
subject01_centerlight.gif,subject07_normal.gif,0.2352848142243368
subject01_centerlight.gif,subject07_rightlight.gif,0.24399898355604074
